Dataset,Deid_Type,Param,Top1_Acc,Top5_Acc
MNIST,None,0.0,94.5,100.0
MNIST,Pixelization,4.0,45.0,89.0
MNIST,Pixelization,8.0,5.0,51.0
MNIST,Pixelization,16.0,3.0,48.5
MNIST,Gaussian Blur,15.0,14.000000000000002,56.00000000000001
MNIST,Gaussian Blur,45.0,14.000000000000002,51.5
MNIST,Gaussian Blur,99.0,14.000000000000002,51.5
MNIST,FFT,3.0,16.5,60.5
MNIST,FFT,5.0,73.0,96.5
MNIST,FFT,10.0,94.0,100.0
MNIST,Adversarial (FGSM),0.01,14.000000000000002,61.5
MNIST,Adversarial (FGSM),0.05,14.000000000000002,61.5
MNIST,Adversarial (FGSM),0.1,14.000000000000002,61.5
MNIST,Adversarial (FGSM),0.3,14.000000000000002,59.5
